Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2023-09-15,пятница,,,,,,,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30
2023-09-16,суббота,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,понедельник,,,,,,,,,,,,,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,,,,,,,,,,,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике
2023-09-19,вторник,,,,,,,,,,,,,,,,,,,,,,,,,Стартовый контроль по русскому языку,,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,,,,,,,,,,,,,,,,,,,,
2023-09-20,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку
2023-09-21,четверг,,,Контр. диктант,,Контр. диктант,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-22,пятница,,,,,,,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,,,,,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,,,,,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,суббота,,,,,,,,,,,,,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,понедельник,,,,,,,,,,,,,,,,,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,,,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сочинение по литературе,,,,,,,,,,,,,,,,,
